Time,Accel_Z,Speed,Lat,Lon
1782467686.4461427,10.165780249023436,40.692144000000006,11.047321666666667,106.6328275
1782467686.5038803,9.390058911132812,40.692144000000006,11.047321666666667,106.6328275
1782467686.5743918,8.762778076171875,40.692144000000006,11.047321666666667,106.6328275
1782467686.626174,9.37808790283203,40.692144000000006,11.047321666666667,106.6328275
1782467686.7008219,9.050082275390624,40.692144000000006,11.047321666666667,106.6328275
1782467686.7755027,8.935160595703124,40.692144000000006,11.047321666666667,106.6328275
1782467686.8501124,8.971073620605468,40.692144000000006,11.047321666666667,106.6328275
1782467686.8978083,9.047688073730468,40.692144000000006,11.047321666666667,106.6328275
1782467686.941345,9.708487731933593,40.692144000000006,11.047321666666667,106.6328275
1782467687.0160077,9.279925634765624,40.692144000000006,11.047321666666667,106.6328275
1782467687.0637207,8.942343200683593,40.692144000000006,11.047321666666667,106.6328275
1782467687.13006,9.387664709472656,40.692144000000006,11.047321666666667,106.6328275
1782467687.1632457,8.322244970703125,40.692144000000006,11.047321666666667,106.6328275
1782467687.2434745,8.037334973144532,40.166176,11.047232333333334,106.63287633333333
1782467687.2877445,8.853757739257812,40.166176,11.047232333333334,106.63287633333333
1782467687.3643909,9.241618408203124,40.166176,11.047232333333334,106.63287633333333
1782467687.4245088,9.631873278808593,40.166176,11.047232333333334,106.63287633333333
1782467687.4784212,8.896853369140624,40.166176,11.047232333333334,106.63287633333333
1782467687.5489142,8.360552197265624,40.166176,11.047232333333334,106.63287633333333
1782467687.6007845,8.259995727539062,40.166176,11.047232333333334,106.63287633333333
1782467687.6754189,8.84178673095703,40.166176,11.047232333333334,106.63287633333333
1782467687.7500746,9.076418493652342,40.166176,11.047232333333334,106.63287633333333
1782467687.824744,8.932766394042968,40.166176,11.047232333333334,106.63287633333333
1782467687.872408,8.372523205566406,40.166176,11.047232333333334,106.63287633333333
1782467687.9159548,8.777143286132812,40.166176,11.047232333333334,106.63287633333333
1782467687.9906023,9.215282189941405,40.166176,11.047232333333334,106.63287633333333
1782467688.0382915,8.765172277832031,40.166176,11.047232333333334,106.63287633333333
1782467688.1049273,9.26316622314453,40.166176,11.047232333333334,106.63287633333333
1782467688.1793275,8.698134631347656,40.166176,11.047232333333334,106.63287633333333
1782467688.2141693,9.327809667968749,40.166176,11.047232333333334,106.63287633333333
1782467688.2927356,8.813056311035156,39.666136,11.047144333333334,106.63292416666667
1782467688.3369172,8.700528833007812,39.666136,11.047144333333334,106.63292416666667
1782467688.4136415,8.458714465332031,39.666136,11.047144333333334,106.63292416666667
1782467688.473792,8.346186987304687,39.666136,11.047144333333334,106.63292416666667
1782467688.5297477,9.327809667968749,39.666136,11.047144333333334,106.63292416666667
1782467688.6002512,9.437942944335937,39.666136,11.047144333333334,106.63292416666667
1782467688.6520917,9.440337145996093,39.666136,11.047144333333334,106.63292416666667
1782467688.7267299,9.023746057128905,39.666136,11.047144333333334,106.63292416666667
1782467688.8014185,8.590395556640624,39.666136,11.047144333333334,106.63292416666667
1782467688.8922808,8.908824377441405,39.666136,11.047144333333334,106.63292416666667
1782467688.923808,9.514557397460937,39.666136,11.047144333333334,106.63292416666667
1782467688.9672348,8.530540515136718,39.666136,11.047144333333334,106.63292416666667
1782467689.0418544,7.915230688476562,39.666136,11.047144333333334,106.63292416666667
1782467689.0896335,8.590395556640624,39.666136,11.047144333333334,106.63292416666667
1782467689.1559875,9.65342109375,39.666136,11.047144333333334,106.63292416666667
1782467689.189184,8.710105639648438,39.666136,11.047144333333334,106.63292416666667
1782467689.2694364,9.035717065429687,39.31425600000001,11.047057,106.63297116666666
1782467689.3136196,9.10993731689453,39.31425600000001,11.047057,106.63297116666666
1782467689.3903446,9.749189160156249,39.31425600000001,11.047057,106.63297116666666
1782467689.4504392,9.018957653808593,39.31425600000001,11.047057,106.63297116666666
1782467689.5064147,8.315062365722655,39.31425600000001,11.047057,106.63297116666666
1782467689.5769546,8.453926062011718,39.31425600000001,11.047057,106.63297116666666
1782467689.6287847,8.566453540039062,39.31425600000001,11.047057,106.63297116666666
1782467689.7033863,8.999804040527343,39.31425600000001,11.047057,106.63297116666666
1782467689.778109,9.026140258789061,39.31425600000001,11.047057,106.63297116666666
1782467689.852749,9.313444458007812,39.31425600000001,11.047057,106.63297116666666
1782467689.9004126,9.088389501953124,39.31425600000001,11.047057,106.63297116666666
1782467689.9439468,8.322244970703125,39.31425600000001,11.047057,106.63297116666666
1782467690.0185952,7.975085729980468,39.31425600000001,11.047057,106.63297116666666
1782467690.0662906,9.931148486328125,39.31425600000001,11.047057,106.63297116666666
1782467690.132742,8.537723120117187,39.31425600000001,11.047057,106.63297116666666
1782467690.207299,9.095572106933593,39.31425600000001,11.047057,106.63297116666666
1782467690.2875319,8.884882360839843,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.3317585,8.734047656249999,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.408445,8.975862023925782,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.468581,8.992621435546875,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.524565,8.93755479736328,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.595067,8.068459594726562,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.6469045,9.718064538574218,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.7215593,9.028534460449219,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.7962265,8.671798413085938,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.8708584,9.119514123535156,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.9185376,9.157821350097656,38.447520000000004,11.046971333333333,106.63301783333333
1782467690.9620886,9.34696328125,38.447520000000004,11.046971333333333,106.63301783333333
1782467691.0367694,9.368511096191405,38.447520000000004,11.046971333333333,106.63301783333333
